-57	0	0
-56	0	0
-55	0	1
-54	0	1
-53	0	0
-52	1	1
-51	0	1
-50	0	0
-49	1	1
-48	1	0
-47	2	0
-46	0	1
-45	0	1
-44	0	1
-43	0	1
-42	1	2
-41	1	2
-40	2	0
-39	0	2
-38	1	0
-37	0	3
-36	2	1
-35	2	0
-34	1	1
-33	3	2
-32	2	4
-31	0	1
-30	7	1
-29	3	3
-28	4	2
-27	3	4
-26	3	3
-25	3	2
-24	6	2
-23	4	3
-22	3	3
-21	8	3
-20	3	1
-19	5	3
-18	4	5
-17	3	4
-16	4	5
-15	5	5
-14	4	2
-13	9	2
-12	8	2
-11	1	1
-10	8	4
-9	4	4
-8	2	20
-7	2	5
-6	10	2
-5	3	5
-4	4	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	166	0
4	0	2
5	1	7
6	9	8
7	5	3
8	1	3
9	8	2
10	5	3
11	6	4
12	8	2
13	6	1
14	6	3
15	10	3
16	2	4
17	3	2
18	9	5
19	5	2
20	5	2
21	2	5
22	1	3
23	5	6
24	4	4
25	2	3
26	1	0
27	2	3
28	1	2
29	4	1
30	0	1
31	2	3
32	3	1
33	1	1
34	2	1
35	1	3
36	2	0
37	1	0
38	3	0
39	1	2
40	1	0
41	2	0
42	2	0
43	2	1
44	1	0
45	2	0
46	1	1
47	0	0
48	1	1
49	2	0
50	0	1
51	0	0
52	0	0
53	0	0
54	0	1
55	0	0
56	0	0
57	0	0
