-56	0	0
-55	0	0
-54	0	0
-53	0	0
-52	0	0
-51	0	1
-50	0	0
-49	0	0
-48	0	0
-47	1	0
-46	0	0
-45	0	0
-44	0	0
-43	0	1
-42	0	1
-41	0	1
-40	0	0
-39	0	0
-38	0	1
-37	1	1
-36	0	0
-35	0	1
-34	0	0
-33	1	0
-32	0	0
-31	0	0
-30	0	2
-29	0	0
-28	0	0
-27	0	0
-26	1	1
-25	0	0
-24	0	0
-23	2	0
-22	0	2
-21	2	0
-20	0	2
-19	0	0
-18	3	0
-17	1	2
-16	1	1
-15	0	0
-14	0	0
-13	1	1
-12	1	1
-11	1	1
-10	0	0
-9	1	0
-8	1	1
-7	1	0
-6	1	0
-5	0	15
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	504	0
1	0	0
2	0	0
3	0	1
4	0	0
5	1	0
6	2	2
7	2	0
8	3	3
9	1	2
10	0	2
11	0	0
12	1	0
13	1	1
14	0	1
15	1	1
16	1	0
17	0	0
18	0	0
19	0	0
20	2	0
21	2	0
22	0	0
23	0	0
24	3	1
25	0	0
26	1	0
27	0	1
28	0	0
29	0	0
30	1	0
31	1	0
32	1	0
33	0	0
34	0	0
35	0	0
36	0	1
37	0	0
38	0	0
39	1	0
40	0	0
41	0	0
42	1	1
43	0	0
44	1	0
45	2	1
46	1	1
47	0	0
48	1	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
